Production Year,Production Date Entered,Operator,County,Field,Active Oil Wells,Inactive Oil Wells,Self-use Well
1999,03/31/2000,Seneca Resources Corporation,Allegany,BEECH HILL-INDEPENDENCE,0,0,INACTIVE
1996,03/17/1997,"Pan Energy Company, Inc.",Erie,CONCORD,0,0,NO
1997,01/27/1998,"Hughes, Ronald",Cattaraugus,BRADFORD,0,1,INACTIVE
1993,04/05/1994,Sherman Oil Co.,Allegany,RICHBURG,15,0,NO
1972,09/20/1994,"Clark, Newton",Allegany,,9,0,NO
1974,09/08/1994,National Fuel Gas Supply Corp.,Genesee,ALDEN-LANCASTER,0,0,YES
1980,06/14/1994,"Goodman Brothers, Inc.",Cattaraugus,,8,12,NO
1986,01/28/1987,"Handy, James R",Erie,ALDEN-LANCASTER,0,0,YES
1986,04/10/1987,"Harris, William",Genesee,UHLEY CORNERS-CALEDONIA,0,0,YES
1997,01/14/1998,"Capron, Lee H. and Elsie",Chautauqua,LAKESHORE,0,0,YES
1983,04/30/1992,Van Scoter & Van Scoter,Chautauqua,LAKESHORE,0,0,NO
1971,09/23/1994,Marine Midland Bank,Erie,,0,0,NO
1979,06/29/1994,Houghton College,Allegany,HOUGHTON,0,0,
1994,03/23/1995,Seneca Resources Corporation,Chautauqua,LAKESHORE,0,0,NO
1985,03/03/1986,"Midwest Exploration, Inc.",Erie,ALDEN-LANCASTER,0,0,NO
1975,08/31/1994,"Alden Aurora Gas Co.,  Inc.",Erie,ALDEN-LANCASTER,0,0,NO
1977,08/19/1994,National Fuel Gas Supply Corp.,Steuben,WYCKOFF,0,0,INACTIVE
1993,04/12/1994,"GFS Energy, Inc.",Erie,BRANT-EDEN,0,0,NO
1974,09/07/1994,"Vossler, Auther & Rita",Allegany,,6,0,
1991,04/07/1992,Shawnee Operating Co.,Erie,BRANT-EDEN,0,0,NO
1990,04/12/1991,"Fitzgerald, Thomas J.",Allegany,RICHBURG,3,2,NO
1987,02/29/1988,"Hearthstone Manor, Inc.",Erie,ALDEN-LANCASTER,0,0,YES
1994,03/14/1995,B B & K Oil Co.,Cattaraugus,BRADFORD,13,0,NO
1974,09/08/1994,National Fuel Gas Supply Corp.,Chautauqua,,0,0,YES
1994,03/20/1995,"Universal Resources Holdings, Incorporated",Chautauqua,LAKESHORE,0,0,NO
1991,11/17/1992,"Engx, Inc.",Chautauqua,LAKESHORE,0,0,NO
1989,03/12/1990,Perry Energy III,Livingston,LEICESTER,0,0,NO
1968,10/05/1994,Weaver Gas Well Management,Genesee,UHLEY CORNERS-CALEDONIA,0,0,NO
1975,08/30/1994,Goldenrod Oil Co.,Cattaraugus,FOUR MILE,4,0,NO
1987,02/29/1988,CNG Transmission Corp.,Livingston,LEICESTER,0,0,YES
1999,04/04/2000,"Taylor, Ricky L.",Allegany,FULMER VALLEY,9,29,NO
1996,04/08/1997,L. W. Resources,Chautauqua,LAKESHORE,0,0,NO
1988,04/06/1989,McO.Resources Corp.,Ontario,EAST BLOOMFIELD,0,0,INACTIVE
1983,03/27/1984,Shawnee Operating Co.,Erie,BRANT-EDEN,0,0,NO
1984,04/08/1985,"Templeton Energy,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1983,04/23/1984,"Lenape Resources Corp., The",Wyoming,LEICESTER,0,0,NO
1996,03/18/1997,"Dunkirk, City School District",Chautauqua,LAKESHORE,0,0,YES
1995,04/02/1996,North Central Oil Corp.,Cattaraugus,LAKESHORE,0,0,NO
1984,04/03/1985,"J M Resources, Inc.",Chautauqua,LAKESHORE,0,0,NO
1991,04/03/1992,D & C Energy Iv,Chautauqua,LAKESHORE,0,0,NO
1987,04/19/1988,U S Energy Development Corp.,Chautauqua,GERRY-CHARLOTTE,1,0,NO
1990,04/05/1991,"SCG Gas Quest, Inc.",Erie,BRANT-EDEN,0,0,NO
1995,10/25/1996,"Petch, Arthur & Susan",Erie,LAKESHORE,0,0,YES
1992,04/06/1993,"Loch Exploration, Inc.",Wyoming,JAVA,0,0,YES
